formula,ionic_conductivity,id,log_conductivity,cif_path
Li4Ge0.75Sn0.25Se4,6e-06,o0a,-5.221848749616356,data/cifs/310.cif
Li4Ge0.50Sn0.50Se4,1.8e-06,qer,-5.7447274948966935,data/cifs/311.cif
Li4Ge0.25Sn0.75Se4,8.3e-07,aab,-6.080921907623926,data/cifs/312.cif
Li4GeS3Se,8.5e-06,1ty,-5.070581074285707,data/cifs/313.cif
Li4GeS2Se2,2.8e-05,zv5,-4.552841968657781,data/cifs/314.cif
Li4GeSe4,5e-06,xk3,-5.301029995663981,data/cifs/315.cif
Li4GeSSe3,1.5e-05,i4l,-4.823908740944319,data/cifs/316.cif
Li10GeP2S12,0.0076,zzr,-2.1191864077192086,data/cifs/317.cif
Li10Ge0.66Sn0.33P2S12,0.0064,kop,-2.193820026016113,data/cifs/318.cif
Li10Ge0.33Sn0.66P2S12,0.0048,rty,-2.318758762624413,data/cifs/319.cif
Li10SnP2S12,0.0038,kko,-2.42021640338319,data/cifs/320.cif
