formula,log_conductivity,predicted_conductivity
Li6P3Ge5,-5.9761114,1.0565464618542103e-06
Li6Ge5P3,-5.9761114,1.0565464618542103e-06
Li5SCl2,-5.976385,1.0558810606401469e-06
LiSi3Ti7Br4,-5.97728,1.0537073271280792e-06
Li4Ge5La6N6,-5.977714,1.052654860252103e-06
Li5Ge6Cl7,-5.977776,1.0525045936802696e-06
Li3Cl4La3Si4,-5.9778047,1.0524350420625995e-06
Li4P2ZrN4,-5.9791293,1.0492300009282217e-06
LiP4Zr,-5.9793196,1.048770348000716e-06
Li5Al2Ge6La4Zr4,-5.9795957,1.0481038107088046e-06
Li6Si5Ti7O3Ge5,-5.979852,1.0474854520433874e-06
Li7S7Cl2Zr4,-5.9799404,1.047272259625813e-06
Li6Al4Cl6Si5Ti2,-5.9799776,1.04718255814166e-06
Li5Br5Cl3La4,-5.979987,1.0471598928536352e-06
Li6P7Cl3,-5.9803,1.0464054670474267e-06
Li7S6N5Br,-5.9815483,1.0434020844588591e-06
Li5Cl2S2Ge5P6,-5.981579,1.0433283296377004e-06
Li4O4La3N7,-5.9822865,1.041630049106637e-06
Li2SiCl6,-5.984233,1.0369719287006079e-06
Li3La4Br7F3Si3,-5.9843416,1.0367126551500373e-06
LiTi5GeClO,-5.9843864,1.0366057177298144e-06
Li3Ge5La,-5.9844546,1.0364429457807653e-06
Li2S5Br,-5.984844,1.0355140599238327e-06
Li2SBrLa2,-5.9852123,1.0346362726693658e-06
Li3P7Br2F3,-5.9855027,1.0339446729492952e-06
Li3Ti3OGe7Zr6,-5.985532,1.0338749194564927e-06
Li5Zr3N4LaGe6,-5.9856567,1.0335781031246176e-06
Li5Ge4La2Ge5,-5.9859424,1.032898388855765e-06
Li5Cl2Ge3,-5.9866514,1.0312135239977409e-06
Li6Ti6N4Si3,-5.987161,1.030004210409033e-06
Li4Ge6La,-5.987757,1.0285916631637689e-06
Li7Ge5P3,-5.9888325,1.0260475790598127e-06
Li3PZr4,-5.9889345,1.0258066260467307e-06
Li6Cl3Ge4,-5.9907274,1.021580512958582e-06
Li5Si5Cl6,-5.990804,1.0214003445016979e-06
Li4Al7Ti3S3La4,-5.9921365,1.018271292168552e-06
Li2Ti3N3,-5.9925256,1.0173593949647134e-06
Li7Ge5Ti4N6,-5.993518,1.0150372959254207e-06
Li6Si2Ti7N4Ge2,-5.9938626,1.014232212893988e-06
Li7Ge6N7La4,-5.993925,1.0140864971497603e-06
LiTiCl6N3P3,-5.9939513,1.0140250879713168e-06
Li6Si3Zr6Al6N7,-5.994132,1.0136032630886424e-06
Li2F2Ti7AlGe3,-5.9942408,1.013349365728611e-06
Li6Cl3Ge7,-5.994491,1.0127657364106508e-06
Li5Br3SiCl5,-5.9953594,1.010742668898963e-06
Li7La5F4Br5Cl4,-5.9954596,1.0105094982340244e-06
LiTi2O2S7,-5.9955454,1.0103098798767776e-06
Li6Ti2P7Si3,-5.9956703,1.0100193637278274e-06
Li3La2Br4,-5.9961405,1.0089264322491924e-06
Li4Ti6N6Al5,-5.9969068,1.0071477805131111e-06
Li6N5Al5ZrBr6,-5.9975224,1.0057211886709494e-06
Li7Br7Al5,-5.997593,1.0055577094007677e-06
Li4P5Zr6,-5.997922,1.0047962371229292e-06
Li3Al2Ti3O2,-5.9983087,1.0039019550494053e-06
LiZr3P3Al4Cl3,-5.9984593,1.0035538930082253e-06
Li3P6Ge2,-5.998466,1.0035384109804824e-06
Li3Ge2P6,-5.998466,1.0035384109804824e-06
Li2Zr5Br3,-5.9986486,1.0031165599006802e-06
Li6Cl6Ge5Si5,-5.9989643,1.002387633248053e-06
LiLa3Ge4,-5.9992146,1.0018100865645386e-06
LiLa4S5Zr6Ti,-6.000158,9.996362577255748e-07
Li2ClSi7Ti6,-6.000304,9.993002590646848e-07
Li7La4O2S6Zr5,-6.000642,9.985228324578682e-07
Li3N6Zr6Br4S3,-6.0006747,9.984476519783415e-07
Li7S2Zr6N5F3,-6.0007915,9.981791636364728e-07
Li3Cl3AlSiBr,-6.0012803,9.970563413896524e-07
Li3GeO3Br7,-6.002065,9.952564481308638e-07
Li3N2P3,-6.0023336,9.946410978488724e-07
LiO5La4Cl4Si6,-6.0025973,9.940373433566036e-07
Li2N3Br6La5,-6.0028763,9.933989577311368e-07
Li3Br3Al3Zr7,-6.003085,9.929216950332116e-07
Li4N3Si6Zr4,-6.003395,9.922131990510137e-07
Li4Br3Ge4,-6.005238,9.880115008978978e-07
Li5LaGe3N5,-6.005287,9.879000331391545e-07
Li7N3Si5La3Ge4,-6.00581,9.8671106859501e-07
Li5S2N6Zr4O2,-6.0068555,9.843385638989792e-07
Li3Cl6Zr7N6,-6.0075455,9.827759045120342e-07
LiBrTi6La2,-6.0085797,9.80438371651794e-07
Li3Br7S7Ge6,-6.0091076,9.792473388361622e-07
Li4Si4AlN7Ti6,-6.010116,9.76976235876457e-07
Li4Br3La,-6.0112605,9.744049914614072e-07
Li4LaGe,-6.0115466,9.737632944681536e-07
Li4Cl6Ge3,-6.011895,9.729824347014164e-07
Li7N4Ge4Ti4,-6.0121937,9.723134648129053e-07
Li6Ge3Br7ON2,-6.0123067,9.720605094254847e-07
Li2Br3La7Zr6,-6.0124598,9.717178934324238e-07
Li4LaS5,-6.013361,9.69703582315163e-07
Li6BrS6Zr7,-6.0134673,9.694662620612587e-07
Li4La2OS3Zr,-6.013669,9.690161160141386e-07
Li2ClGe3,-6.01399,9.683001519395143e-07
LiP4Si7Zr7,-6.014141,9.679635418431394e-07
Li5S7P6La5,-6.0146885,9.66744032615108e-07
Li3La2S6Zr5,-6.0148926,9.662898106337283e-07
Li6P2Br6Ti4O3,-6.0154004,9.651606339288916e-07
Li5S4N,-6.0159636,9.63909809469068e-07
Li3O7La7Cl6Ge4,-6.016749,9.621682017342825e-07
Li3Ge7N4La5,-6.0180516,9.592866486452489e-07
Li3Zr5Br4S,-6.018249,9.588507228778285e-07
Li6La7N2Zr7Cl2,-6.018463,9.583783624944206e-07
Li4P3Br5Ge6,-6.0188403,9.57546118140417e-07
Li5Zr4NSSi5,-6.0189962,9.57202446610524e-07
Li4P4LaN5,-6.0191545,9.568536106442223e-07
Li2Br7N3,-6.019541,9.560024384039926e-07
Li3Ti6N6Ge5,-6.019736,9.555732857489632e-07
Li7Si2S6GeN3,-6.0213366,9.520579853208478e-07
Li6P5Ge5,-6.022148,9.502808992809737e-07
Li3GeBr4,-6.022153,9.502699588307863e-07
Li6Br4Ti5Zr6Si6,-6.022532,9.494410392237341e-07
Li3GeBr,-6.0225835,9.493284582066165e-07
Li3N5Si4La4Zr,-6.023402,9.475409761671602e-07
Li4O4N3Zr6P7,-6.0238295,9.466087182606877e-07
Li7N6Al2La4Cl4,-6.024035,9.461609067331569e-07
LiGeP6La3,-6.024197,9.458080367589065e-07
Li4Al2Ti7O2Cl3,-6.0257597,9.42410898791624e-07
Li2O2Si4Zr3,-6.026037,9.418093550460676e-07
LiS7O3Ti7,-6.0277753,9.380472184598785e-07
Li4Ge7Zr3La7Br2,-6.028721,9.36006791686189e-07
Li4Cl6Ge7Br7,-6.0287647,9.359126126425806e-07
Li2BrS6,-6.0293365,9.346811839427629e-07
Li3N3Zr7Ge6,-6.030359,9.324831653806696e-07
Li7OGeZr,-6.030754,9.316354378269125e-07
Li7N4S5Si4Br3,-6.031038,9.310264087376477e-07
Li5Zr5P4O,-6.031711,9.295847704884706e-07
Li4Cl3Ti2Si7,-6.031805,9.293835901459839e-07
Li5Ti2S2Br6,-6.0319057,9.291681186582761e-07
LiTi6Cl7ZrGe3,-6.0319247,9.291274692629509e-07
Li5Zr4PBr,-6.0325217,9.278511278700604e-07
Li7La3Si5F4Zr2,-6.0338054,9.251126083683307e-07
Li5P4La2,-6.034268,9.241277253763145e-07
Li6Br3Zr7S5,-6.0350738,9.224146671922157e-07
Li4Ti5Zr7La4Ge3,-6.0355654,9.213711298703947e-07
LiTi7O3,-6.035566,9.21369856950017e-07
Li3Ge5Br5,-6.035654,9.211831810036933e-07
Li6Si2PGe5,-6.037062,9.182015044264547e-07
Li5Al4Ti6O4,-6.0370636,9.181981216533316e-07
Li3Br6Ge4,-6.0373783,9.175330146954906e-07
LiN4Zr3S6,-6.038173,9.158555889193719e-07
Li6Ti7FAl6Br,-6.0389667,9.141833347807768e-07
Li2N7PZr7,-6.039295,9.134925293680555e-07
Li4NGe6Ti4Cl4,-6.0396805,9.126820306442679e-07
Li7Ge4N7,-6.0407996,9.103332381274216e-07
Li2Br2Zr2La,-6.0410924,9.097197011120665e-07
Li3La4Ge5,-6.0424438,9.068933137761568e-07
Li3Br6Al5Cl6,-6.0426097,9.065469477178031e-07
Li2Zr5Ti7SiN7,-6.044574,9.024559237344189e-07
Li6Si6Cl7,-6.0468626,8.9771276362574e-07
Li5F6N6Si5Zr7,-6.046964,8.975031882059796e-07
LiLaS2Ge2P6,-6.047058,8.973089509459504e-07
Li4La2Ti5FSi2,-6.047357,8.96691390623067e-07
Li4AlP5,-6.047441,8.965179719034428e-07
Li2P2S3GeCl5,-6.047974,8.954183701467674e-07
Li4P6Zr7,-6.0484247,8.944896092626966e-07
Li6TiZr4BrAl6,-6.0495625,8.921492197555536e-07
Li3Zr7S2Br3,-6.0497823,8.916978099574791e-07
Li7Br2S7,-6.051848,8.874665647161018e-07
Li7O6Zr6Ge2P5,-6.05194,8.872785856373587e-07
Li3P3Cl,-6.053673,8.837450616851542e-07
Li4Zr3Br3La4Ge4,-6.0550275,8.809930857992544e-07
Li3P6BrTi4Ge,-6.05512,8.808054638376406e-07
Li6Al2Cl7FP4,-6.055309,8.804222307516868e-07
Li7Ge7La5,-6.055329,8.803816867431727e-07
Li6P7OTi2,-6.0559,8.792249425494776e-07
Li7O3N3Si4Ti4,-6.056995,8.770109180468442e-07
Li3AlClZr2N2,-6.057511,8.759695304139257e-07
Li3Ge7La6N4,-6.059144,8.726819632863518e-07
Li2Br5Zr7,-6.0599356,8.710927516572636e-07
Li7P4Br5P6N7,-6.060288,8.703862067012201e-07
Li6O4S7Cl2Ge6,-6.0603957,8.701703877672078e-07
LiZr5GeBr,-6.0611615,8.686373512252029e-07
LiBr2La7Ge2,-6.0622125,8.665377756557216e-07
Li5NSi7Cl6Br2,-6.062764,8.654380787965953e-07
Li6S5Cl3Zr7Al4,-6.063068,8.64832496345879e-07
Li7F7La4O7Zr3,-6.063309,8.643527140295346e-07
Li4Zr4Br7Si6N3,-6.0635753,8.63822874066253e-07
Li5Br3Si7ClP4,-6.0640817,8.628162184744494e-07
Li5Si4Br5Ti2,-6.0649767,8.610399459388719e-07
Li3N2F3Ti3Ge2,-6.0650787,8.608377426750155e-07
Li6P4Si3La4,-6.0650864,8.608224802387321e-07
Li2Al7Ge5Cl4La4,-6.065323,8.603536390759649e-07
Li5SiGe7Cl4,-6.0653825,8.602357754209242e-07
Li5Ti7P6,-6.06557,8.598644619424722e-07
Li5Ge2AlBr3S5,-6.0657682,8.59472133094857e-07
Li2LaTi3O4,-6.0662465,8.585260947458101e-07
Li2Si3FGeZr3,-6.0672197,8.566043983313537e-07
Li2S7Cl7Zr2Al,-6.0689087,8.53279476711052e-07
LiBrZr2,-6.0690017,8.530967746535956e-07
Li3Zr4P5,-6.069177,8.527524974571301e-07
Li2Br5ClLa5,-6.0696087,8.519052604737366e-07
Li3La2Ge3,-6.0696545,8.518154246474038e-07
Li5P7Zr5,-6.0697913,8.515471504601211e-07
Li6SiAl2Zr4N6,-6.0699606,8.512152585248075e-07
Li4Zr6SP7Al2,-6.0704165,8.503221653902507e-07
Li6Si7Ti5N3,-6.070477,8.50203718322552e-07
Li3F4Br4Ge7Zr7,-6.0706563,8.498527811834309e-07
Li2Zr2S3,-6.070751,8.4966748690103e-07
Li2FZr7Al2Br2,-6.0707965,8.495784739220843e-07
Li6La2P5,-6.0709577,8.492631886901965e-07
Li4P3Ti5FZr7,-6.071012,8.491570116368379e-07
Li7Zr3N4Ge5Br,-6.0712714,8.48649969599475e-07
Li6Ti7Cl2N7Zr5,-6.071869,8.474830092183915e-07
LiLa4Zr5Al6,-6.07216,8.469153415157595e-07
Li5LaBr5Ti4Al3,-6.07286,8.45551374790076e-07
LiCl3Zr4O,-6.073429,8.444442833670825e-07
Li6ZrP,-6.073431,8.444403945663988e-07
Li6La7Zr7P4,-6.073895,8.43538676668536e-07
Li2Zr5O6S2P,-6.074345,8.426650855262155e-07
Li3Zr7S2Al3,-6.076676,8.381543435681018e-07
Li4Cl7Si6Br2,-6.0770583,8.374168591466714e-07
LiNP6La4Cl2,-6.077441,8.366792530206835e-07
Li2Si5La7Ge2S4,-6.077535,8.36498179250957e-07
Li3ClBr3Zr6La2,-6.0778136,8.359617375780084e-07
Li2F2P2Si7Zr7,-6.07792,8.357569561732968e-07
Li2Ti3P,-6.0783715,8.348885403803399e-07
Li7Si6Ge3ZrLa,-6.0793347,8.330389346952514e-07
Li3S5Si7Ge3Ti6,-6.0794306,8.328550050866187e-07
Li5Br6Zr6Ge,-6.079481,8.327583576309349e-07
Li2La2Br5Cl5O4,-6.0799966,8.317702828314846e-07
Li3PZr6O2,-6.0799975,8.317685591336023e-07
LiZr7Si7Ti7P5,-6.0800114,8.317419380310188e-07
LiS2Br2Ti2,-6.0809264,8.299914144595154e-07
Li5O3La2,-6.08143,8.290295292773843e-07
Li2Si2Br,-6.0816193,8.286682511608711e-07
Li5Cl6P7Si6Br7,-6.0816517,8.286064317020272e-07
Li7Si3Ge7Br5,-6.0821548,8.276471044533782e-07
Li4La2Si7Cl5,-6.082828,8.263651622673752e-07
Li6Cl2PZr5N,-6.0847917,8.226371155261385e-07
Li5Ti4O6P4Si6,-6.085061,8.221271677536587e-07
Li5P4O6La3Cl6,-6.085118,8.220192728218977e-07
Li5Zr3LaAl7,-6.085687,8.20942992286367e-07
Li5Cl2P4N3,-6.085781,8.207653241515266e-07
Li3S4Cl6N2,-6.0859733,8.204019802908066e-07
Li2LaP4Ti5,-6.086523,8.193642289464571e-07
Li7Zr7Br2PN5,-6.08672,8.189926420261802e-07
Li3Ti7Cl4BrAl2,-6.086955,8.185495988455153e-07
Li7S4Br,-6.0871143,8.18249408433478e-07
Li4Al6Zr5F3,-6.0887985,8.150823708015142e-07
Li4S3Zr4Ge7,-6.0888143,8.150527179559536e-07
Li6N3Al6Br7Zr5,-6.0891194,8.144803292508555e-07
Li4S7Br5Ti7,-6.0891423,8.144373834880535e-07
LiN4O3Cl3Zr5,-6.089354,8.14040476814626e-07
Li4Ge5Cl,-6.089402,8.139505107080128e-07
Li3Br3La2N2,-6.089622,8.135382932563342e-07
Li3P5O5Br3,-6.089823,8.131618589031802e-07
Li5Br6Cl3Al2,-6.089955,8.129147430419985e-07
Li7Ge2Br6,-6.089968,8.128904099363894e-07
Li7Ge7S2Cl5,-6.090777,8.113775742063107e-07
LiCl4O6Zr7Si7,-6.0908704,8.112030969329224e-07
Li5ZrCl4,-6.0910096,8.109431319062761e-07
Li5P5Zr4Si,-6.091338,8.103301536808966e-07
LiGe7Cl2Br6Zr5,-6.0915256,8.099801950360623e-07
Li7F2Si7P4Ge,-6.091537,8.099589337642332e-07
Li4Zr2La7PGe7,-6.0918283,8.094158416066795e-07
Li7Br6La3,-6.0918374,8.093988816698224e-07
Li7F3Ti6Ge7,-6.0923243,8.084919498572133e-07
Li4S5Br4Al5,-6.0923843,8.0838026028194e-07
Li7O3NBr,-6.0928564,8.075019876283552e-07
Li6S2P2Br3Ti6,-6.093607,8.061075708402473e-07
Li6Si7Cl7,-6.094291,8.048389763077446e-07
Li6Cl7Si7,-6.094291,8.048389763077446e-07
Li5ClBr7Si2,-6.094473,8.045017627091163e-07
Li7Ti6PAl3,-6.094552,8.043554337509248e-07
Li7Ti7Si7F2,-6.0956283,8.023644900008907e-07
Li2N3La,-6.0958667,8.019241638841442e-07
Li4Cl5Ge7,-6.0960517,8.015826343856639e-07
Li2GeS2,-6.0970654,7.997138177828386e-07
Li6S7Zr7Br,-6.0972257,7.994186943706498e-07
Li6S7BrZr7,-6.0972257,7.994186943706498e-07
Li3Ge7O6Br2La5,-6.098276,7.974877119946018e-07
LiSiBrPN,-6.0986185,7.968590328902446e-07
LiZr2Br2La6,-6.0994377,7.95357352198601e-07
Li6Si5Zr2ClLa6,-6.099859,7.945861667703675e-07
Li7Al3Zr5Ge5La5,-6.1005335,7.93353057858846e-07
Li4Ti6Ge3P7,-6.1023903,7.89968365141779e-07
Li6Br3Cl2Ge2,-6.1027284,7.893536109192542e-07
Li4Si2GeLa2,-6.1028337,7.891622456984041e-07
Li6AlLaTi5O,-6.1028843,7.890703051254633e-07
Li6O5Si5Br5Ti3,-6.1028934,7.890537714948339e-07
Li3Ge2ZrLa7Cl5,-6.1029377,7.889732885488007e-07
Li5Br2Ge4Cl2N,-6.103328,7.882645575890869e-07
Li4Zr7SiS4Cl4,-6.103747,7.875044199660062e-07
Li7P7Ge6,-6.1040735,7.869126013329558e-07
Li2SPSi,-6.104429,7.862687226368792e-07
Li2La3Cl5Zr7F3,-6.1049504,7.853253200959747e-07
LiZrBr2Al2,-6.10697,7.816817993891567e-07
Li3O4La3S6Si7,-6.107144,7.813686814572436e-07
Li6Cl6Cl7,-6.107239,7.811977792015667e-07
Li7Si5P7Br4,-6.108905,7.782067617151438e-07
Li3Zr6Ti4P2,-6.108948,7.781297143760622e-07
Li6S4Br2F,-6.1090293,7.779840619962574e-07
Li6N7Zr4O2,-6.109884,7.764544798253509e-07
Li4Zr6Br3Al4,-6.110062,7.761363072860337e-07
Li7F7La6Cl5Si6,-6.110337,7.75645004881364e-07
Li2Si3N2Ti3,-6.1109676,7.745195777175697e-07
Li6Al2Zr6O3N6,-6.111308,7.739127471471128e-07
LiLa3AlP3Br,-6.1113477,7.738420049823187e-07
Li4La2Ge3Zr6,-6.1116166,7.733630172970777e-07
Li5Al7Br6Zr5,-6.111697,7.7321985952266e-07
Li3Zr4S5La,-6.112123,7.724617790580476e-07
Li5Br2Cl5Zr5S,-6.112269,7.722021384924455e-07
Li4O3Ge4Zr2La4,-6.112278,7.72186136108062e-07
Li7Ge5La4,-6.112508,7.717772987908448e-07
Li3ClGe4,-6.1130133,7.708798609838037e-07
Li5La2O5Zr7,-6.1139507,7.692177549649033e-07
Li6La4SiGe5,-6.1149163,7.675093944100377e-07
Li5Br4Al5Cl4N2,-6.114952,7.674463059749368e-07
Li4Ge3La2,-6.115148,7.6710003047597e-07
Li7N6Cl7S3Zr6,-6.115517,7.664485377547703e-07
Li5S5P6La4,-6.1156273,7.662539036005068e-07
Li3Cl6P4,-6.1169233,7.63970695211964e-07
Li4Cl3S6Ge5S3,-6.1170626,7.637256908271305e-07
Li3Zr7Ge3N3Ti5,-6.117584,7.628093364860039e-07
Li3Si6Ti6O7Zr2,-6.1175933,7.627930018302144e-07
Li6SS6P4,-6.11764,7.627109825564612e-07
Li3Ge6Zr3N6Br7,-6.117655,7.626846399073042e-07
Li3Cl5S3,-6.118642,7.60953291647262e-07
Li4Ge6Zr5S3,-6.11878,7.607115320202704e-07
Li4Zr6P7,-6.1206303,7.574774352104159e-07
LiN4Si2Zr3,-6.1207466,7.572746169960939e-07
LiN5Zr3,-6.1212316,7.564293997501768e-07
LiLa7S2Ge3,-6.12152,7.559272478010953e-07
Li3Zr2P4,-6.122126,7.54873187764011e-07
Li7P6N,-6.1250243,7.498522518122541e-07
Li6O4Zr5P5Br6,-6.1251783,7.495864027628103e-07
Li5Ge5Br3La6N2,-6.125473,7.490779270862088e-07
Li3Ge4P7Ti6,-6.1255255,7.489873797366692e-07
Li4BrSi6Cl,-6.1255274,7.489841029902036e-07
Li4S6Ge3,-6.1256094,7.488426991702957e-07
Li7Cl5S3La5Ti7,-6.1271157,7.462499241584835e-07
Li6La3Ge4N2,-6.1287537,7.434406434068772e-07
Li3Br3Al5O3P2,-6.1288905,7.432065012105377e-07
Li7Al2Si6Zr7S6,-6.1291723,7.427244143607567e-07
Li3Zr4Si6S7,-6.129716,7.417951679333796e-07
Li2P2Cl5,-6.129934,7.414229072357753e-07
Li7La3O6,-6.1308775,7.398139224830248e-07
LiSi3Zr3La2Ti2,-6.1311226,7.393965162252762e-07
Li4P6Al3N2,-6.1313705,7.389745811094166e-07
Li6LaTi3Al7,-6.131618,7.385535670026322e-07
Li5Cl5S2N2Zr4,-6.1321845,7.375908151041638e-07
Li4Br7O4La2Al3,-6.1329994,7.362081146031313e-07
Li5Ge2N4La4Zr3,-6.133334,7.356411252079161e-07
LiZr4Br2,-6.133389,7.355479679109829e-07
Li4P4Si2N5La3,-6.1334057,7.355196843029562e-07
Li5S4Ti7Ge3La4,-6.133927,7.346373420239953e-07
LiN3Ti4Br4,-6.133969,7.345662997295657e-07
Li5S7Zr5,-6.1340938,7.343552431597381e-07
Li3Al3Cl7Br3,-6.1343575,7.339094841035928e-07
Li6Ge4Br7Zr7,-6.134466,7.337261540446747e-07
Li7Ge7La3,-6.1346555,7.334060699040598e-07
Li5S6Br5,-6.1347704,7.332120605058027e-07
Li6OS6,-6.134958,7.328954069814257e-07
Li6FGe6N2Br6,-6.135613,7.317908922062074e-07
Li6ClP6,-6.137087,7.293113963851301e-07
Li6Cl7F,-6.1372776,7.289913917355935e-07
Li5La3Al6F7,-6.1373367,7.288921953107583e-07
Li3Ti7N3S,-6.1375256,7.285752265221639e-07
Li5Ti5S3P7,-6.137573,7.284957123154334e-07
Li2N6Ti5,-6.1377006,7.282817045340796e-07
Li3Ge6F4Zr7Br6,-6.1378245,7.280739624679967e-07
Li2Br5La5P,-6.1380105,7.277622091127749e-07
Li3Ti5Ge2SCl2,-6.1380196,7.277469600893693e-07
LiTi4Zr4P2,-6.138573,7.268202186715638e-07
Li6Si5Cl6,-6.1388764,7.263126362492406e-07
Li7Si4P2Cl2,-6.139164,7.258318141963614e-07
Li7N3GeSi3Br2,-6.139397,7.254425081804058e-07
Li5S5O2Br5,-6.1394706,7.253195776646932e-07
Li7S4FZr4,-6.139558,7.251736247332788e-07
Li3GeS4AlTi3,-6.139729,7.248881495884891e-07
Li4Ge6Zr7Si5F6,-6.1397367,7.248752975042377e-07
Li6Al3SBr,-6.1403394,7.238700364325307e-07
Li4Ti5ClS4,-6.141148,7.225235381976695e-07
Li2LaZr5,-6.1415052,7.219295189038381e-07
Li7Al4SiLa4P6,-6.141642,7.217021515078562e-07
Li7Si4Br,-6.1417317,7.215531051793171e-07
Li4Ti3Br4La3Zr4,-6.1430187,7.194180003910279e-07
Li5TiZr6Br3S7,-6.143289,7.189703820313439e-07
Li7Si7Br3,-6.143858,7.180290247500896e-07
Li2O4Ti3PSi7,-6.143902,7.179562822261966e-07
Li7SiO3,-6.144634,7.167471916919576e-07
Li4Ge5O2Cl2Br2,-6.1453247,7.156081861413881e-07
LiS5Br6Al3,-6.145478,7.15355630836168e-07
Li2ZrS7,-6.1454873,7.153403123451142e-07
Li2Zr6Ge7N6,-6.145594,7.151645849549053e-07
Li7Si7Al2Br4,-6.1456733,7.150340114004367e-07
Li6P3N6La4,-6.1459174,7.146322315767631e-07
Li4Br3La4La3P3,-6.1460185,7.144658907348529e-07
Li5Cl2O2Ge5P3,-6.1460505,7.144132488819714e-07
Li7N5O3Zr7Br4,-6.1475873,7.118896846274115e-07
Li3P5Zr3,-6.1488194,7.0987290501731e-07
Li7La5Cl6Zr6,-6.1488853,7.097651968208787e-07
Li4Br4La3N3,-6.1490474,7.09500327074268e-07
Li4Ti5P7,-6.1494083,7.089109751128318e-07
Li3S3Si3Br,-6.1494985,7.087637544302381e-07
LiTi4Si4Ge7La4,-6.149519,7.087302994482966e-07
Li7Ge7Ti4Si3Br,-6.149769,7.083224388956466e-07
Li3Zr5La5Si7,-6.1498265,7.082286641739993e-07
Li5Si6Br4Cl5,-6.150036,7.078871030215586e-07
Li6Ge5Zr7S4Al6,-6.1505494,7.070507707055331e-07
Li3Cl3La3Ge2Al7,-6.150756,7.067144966899666e-07
Li5S3Br5Zr2,-6.1514015,7.056648739640182e-07
Li2S2Zr2La,-6.1528306,7.033466122983344e-07
Li2Ge5Br5P2,-6.1533775,7.024614567605546e-07
Li7S7Ge6Cl2Al,-6.153549,7.021841141712267e-07
Li2Ge6N6Zr5,-6.1535964,7.021074802001767e-07
Li6Ti6OAl4Ge2,-6.1541314,7.012430984316911e-07
Li6P7Cl5La6Si6,-6.154991,6.998564991642767e-07
Li5FGe2Si2S5,-6.155863,6.984526991367757e-07
Li5S4NTi3,-6.1562223,6.978750950354862e-07
Li4NGeLa7Cl6,-6.15663,6.972202624746471e-07
LiZr5P4,-6.15687,6.968350707609561e-07
Li2Si3Br,-6.157104,6.964597137333278e-07
Li2BrSi3,-6.157104,6.964597137333278e-07
LiSi4Ge5Ti7Br,-6.159674,6.923504837746657e-07
Li5SiN3Br7,-6.159703,6.923042536370012e-07
Li3Zr5ClN6,-6.1597424,6.922414493614081e-07
Li7F2ClP3,-6.1622934,6.881872147993354e-07
Li3La3S2Cl4,-6.163369,6.864849175662434e-07
Li3P6Zr4,-6.1636615,6.860227214228928e-07
LiZr5S5,-6.163793,6.858150320891275e-07
LiOSi3Zr7,-6.1638207,6.85771291099175e-07
Li2Br3La2,-6.1642995,6.850156601239764e-07
Li7P6Al4,-6.165066,6.838077207041007e-07
Li2Br6P4Zr3F4,-6.1652045,6.835896836960393e-07
LiCl3Ge5Zr2La7,-6.165371,6.833276590281464e-07
LiO7P3Ti5,-6.1660523,6.822565283152297e-07
Li4Ti5La7Si7Br4,-6.1671495,6.805350533823965e-07
Li5Al6La7P3Ti5,-6.167971,6.792489879320956e-07
Li3P4Ti2,-6.1689253,6.777580740796518e-07
Li5P2P3Cl,-6.1689653,6.776956531287652e-07
Li7N4PTi,-6.169081,6.775151328901379e-07
LiPTi,-6.1691885,6.773474497477562e-07
Li2AlBr,-6.1705303,6.752579407338824e-07
Li2SCl2ZrLa,-6.171708,6.734292875485534e-07
Li5NSi2LaGe5,-6.171904,6.731254329847238e-07
LiBr5Ge3Zr,-6.1721506,6.727433290878976e-07
Li2Ti6Br4S3Si,-6.172983,6.714551358155083e-07
LiLa7Br5N,-6.1736383,6.704427518737264e-07
Li6Br4Cl5La7,-6.173852,6.701129333334439e-07
Li4S2Br5Si2,-6.1740932,6.697408669800885e-07
Li5S7BrAl3Ti2,-6.1744003,6.692674446221102e-07
Li3Br2ClZr2O,-6.1746197,6.68929424685045e-07
Li5Br4Zr4O6S4,-6.1755586,6.674848301674333e-07
Li6Al3Ti5S7,-6.1760135,6.667860419148666e-07
Li6Cl3La2Ti5Br,-6.1767073,6.657216792544447e-07
LiTi5Si7La4Zr5,-6.176832,6.655305564569308e-07
Li4P4La5Al6Ge,-6.1772785,6.648466732791489e-07
Li4Cl7Ge5,-6.177818,6.640212838250605e-07
Li3SBr7La7,-6.177943,6.638301906382046e-07
Li2Ge7Cl4La2Si5,-6.1781883,6.634553492024571e-07
Li7FTi6P3,-6.178462,6.630373597303985e-07
Li2P4BrSiCl5,-6.178547,6.629076029338428e-07
LiLa3F5Ge7,-6.1795115,6.614370225793422e-07
Li2La5Br4La7,-6.1800566,6.606073478750157e-07
Li4Ge7Br7,-6.180092,6.605535029655793e-07
LiLa2PCl7,-6.1805735,6.59821556610566e-07
LiLa4S2Ge2Zr,-6.180707,6.596187618613023e-07
Li3S4Cl4PBr,-6.180836,6.594228621028078e-07
Li3BrS3,-6.181075,6.590600697742195e-07
Li3Br7Si2,-6.1812134,6.588500754384011e-07
Li5Zr6P7N3O4,-6.181429,6.585230788288865e-07
LiZrP,-6.1815085,6.584025435802801e-07
LiPZr,-6.1815085,6.584025435802801e-07
Li3P3Ti2,-6.181822,6.579274403390051e-07
Li7La6S7P4,-6.182229,6.573111510585435e-07
